Overall rank,country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,tavg
94,94,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,7.4
95,95,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,24.6
96,96,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,10.55
97,97,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,27.634154727793696
98,98,99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,26.35
99,99,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,8.1
100,100,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,18.3
101,101,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,27.498494764397904
102,102,103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,24.55
103,103,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,26.61977077363897
104,104,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,27.90194842406877
105,105,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,17.75
106,106,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,16.81163323782235
107,107,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,26.599481566820277
108,108,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,28.482120343839544
109,109,110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,18.72
110,110,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,14.764297994269342
111,111,112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,2.5244266055045874
112,112,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,19.95
113,113,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,31.38171919770773
114,114,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,30.639541547277936
115,115,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,7.15
116,116,117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,17.25
117,117,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,27.210340843443092
118,118,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,5.65
119,119,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,25.92993119266055
120,120,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,24.75
121,121,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,25.543475452196382
122,122,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,23.23107798165137
123,123,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,19.59404011461318
124,124,125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,26.500859598853868
125,125,126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,24.630492196878752
126,126,127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,24.0
127,127,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,30.052951289398283
128,128,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,28.246876790830942
129,129,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,27.23958823529412
130,130,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,13.05
131,131,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,30.35111876075732
132,132,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,10.656045845272208
133,133,134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,22.2
134,134,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,15.2
135,135,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,22.8
136,136,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,23.450746268656715
137,137,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,21.4
138,138,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,27.496103151862464
139,139,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,26.37501432664757
140,140,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,25.3
141,141,142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,26.595987055016185
142,142,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,22.65
143,143,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,11.85
144,144,145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,19.8
145,145,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,21.0
146,146,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,24.9
147,147,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,21.5
148,148,149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,17.75
149,149,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,21.9
150,150,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,23.85
151,151,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,17.85
152,152,153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,22.35
153,153,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,12.6
154,154,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,28.32727793696275
155,155,156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,27.88
